video_url,Step_No,Instruction_Text,Action_Type,Tool_Product,Purpose_Outcome,NLP_Matched,AI_Matched
https://www.youtube.com/watch?v=dm5aNKQa60E,1,"To figure out if you're in love, see whether your feelings of wanting to spend all your time with the person, envisioning a future with them, and being unable to stop thinking about that person.",Figure,,if you 're in love,Consider whether this person has changed you.,Evaluate how you feel when they're not around.
https://www.youtube.com/watch?v=dm5aNKQa60E,2,A lot of people in love also feel that their partner makes them a better person.,Feel,,that their partner makes them a better person,Make a list of pros and cons.,Check for empathy.
https://www.youtube.com/watch?v=Ds-ePmDbJ5o,1,The best way to get a girl in a relationship to like you is to hang out together in a group setting until you're comfortable around each other.,,,a girl in a relationship to like you,Spend time with her while in a group.,Spend time with her while in a group.
https://www.youtube.com/watch?v=Ds-ePmDbJ5o,2,Slowly start spending time one-on-one and show her you care about her by asking her opinion or discussing things she's going through.,Start,,spending time one - on - one,Show her you care about her.,Show her you care about her.
https://www.youtube.com/watch?v=Ds-ePmDbJ5o,3,Be honest about your preferences and interests so that she can get to know the real you.,Get,,to know the real you,See how she responds to flirting.,Show her you care about her.
https://www.youtube.com/watch?v=Ds-ePmDbJ5o,4,Read on for suggestions on how to get her to reveal her feelings for you and to learn how to ask her out if she becomes single.,Read,for suggestions,her to reveal her feelings for you and to learn how to ask her out if she becomes single,See how she responds to flirting.,Ask her out on a date.
https://www.youtube.com/watch?v=F_TEL8SOXRw,1,"To clean a cooked lobster, first twist the tail back and forth and pull it off the rest of the body.",Clean,lobster,a cooked lobster,Access the body of the lobster.,Access the body of the lobster.
https://www.youtube.com/watch?v=F_TEL8SOXRw,2,Twist the tail flippers off.,Twist,flippers,the tail flippers,Pick out the lobster's tail flippers.,Remove the tail.
https://www.youtube.com/watch?v=F_TEL8SOXRw,3,Then use your finger to push the tail meat out of the wide end where the tail met the body.,Use,finger,your finger,Push out the meat from the tail.,Push out the meat from the tail.
https://www.youtube.com/watch?v=F_TEL8SOXRw,4,"Next, twist the claws off of the lobster.",Twist,claws,the claws,Twist off the eight lobster legs.,Twist off the eight lobster legs.
https://www.youtube.com/watch?v=F_TEL8SOXRw,5,Break off the pincher on each claw and use a fork to pick the meat out from inside.,Break,pincher,the pincher,Break off the claw knuckles.,Push out the meat from the tail.
https://www.youtube.com/watch?v=F_TEL8SOXRw,6,"For soft shell lobsters, use your hands to break open the rest of each claw and take out the meat.",Use,For,your hands,Break off the claw knuckles.,Access the body of the lobster.
https://www.youtube.com/watch?v=F_TEL8SOXRw,7,"Finally, pull the legs off of the body and use a rolling pin to press the meat out of each leg.",Pull,legs,the legs,Access the body of the lobster.,Pick out the meat from the body cavity.
https://www.youtube.com/watch?v=onR3mhFJYfM,1,"To peel and core your apple, first use a vegetable or swivel peeler to remove the peel.",Peel,,your apple,Use a vegetable peeler to remove the apple skin.,Use a swivel peeler to remove the apple skin.
https://www.youtube.com/watch?v=onR3mhFJYfM,2,"Start at the top and circle down and around your apple, making one continuous peel if you can.",Start,,around your apple,Pull the core away from the apple slice if it doesn't fall out on its own.,Use a swivel peeler to remove the apple skin.
https://www.youtube.com/watch?v=onR3mhFJYfM,3,Then put your apple stem side up on a cutting board and cut it in half.,Put,side,your apple stem,Cut the apple in half.,Cut the apple in half.
https://www.youtube.com/watch?v=onR3mhFJYfM,4,"Next, put the halves flat side down on the cutting board and cut them in half so you end up with four quarters.",Put,halves,the halves flat side,Cut the apple in half.,Cut the apple in half.
https://www.youtube.com/watch?v=onR3mhFJYfM,5,You can then core each quarter by holding it in one hand and use a paring knife with your other hand.,Core,quarter,each quarter,Pull the core away from the apple slice if it doesn't fall out on its own.,Pull the core away from the apple slice if it doesn't fall out on its own.
https://www.youtube.com/watch?v=onR3mhFJYfM,6,Cut a V shape around the core and pull it away from the apple.,Cut,shape,a V shape,Pull the core away from the apple slice if it doesn't fall out on its own.,Pull the core away from the apple slice if it doesn't fall out on its own.
https://www.youtube.com/watch?v=fJBzQ6P7SrE,1,"The easiest way to get rid of mice naturally is to soak cotton balls in peppermint oil and place them near your garage, doorways, and vents.",,,of mice,Apply peppermint oil.,Lure the mouse into a container it can't get out of.
https://www.youtube.com/watch?v=fJBzQ6P7SrE,2,"Mice don't like the smell of peppermint, so the cotton balls will keep them away.",Like,smell,the smell of peppermint,Find the location where the mice are entering.,Lure the mouse into a container it can't get out of.
https://www.youtube.com/watch?v=fJBzQ6P7SrE,3,"If peppermint oil fails, buy an organic mice repellent online and spray any places where mice can get into your house.",Fail,,peppermint oil,Find the location where the mice are entering.,Apply peppermint oil.
https://www.youtube.com/watch?v=fJBzQ6P7SrE,4,You can also try a live catch trap to catch the mice and release them into the wild.,Try,trap,a live catch trap to catch the mice and release them into the wild,Try a commercial live-catch trap.,Lure the mouse into a container it can't get out of.
https://www.youtube.com/watch?v=fJBzQ6P7SrE,5,"For more ways to naturally get rid like creating barriers in your home, read on.",Rid,For,barriers,Keep your home clean.,Block up any holes in interior walls.
https://www.youtube.com/watch?v=hmZP2r7uxTo,1,"To get a letter ready for shipment, write the recipient's name and address in the center of the envelope, followed by a return address in the top left corner.",Get,letter,a letter ready for shipment,Place the letter in a blue collection box.,Address the envelope.
https://www.youtube.com/watch?v=hmZP2r7uxTo,2,"If your letter weighs less than one ounce and is going to a U.S. address, place a first-class stamp in the top right corner of the envelope.",Weigh,ounce,your letter,Place the letter in a blue collection box.,Take the letter to any post office.
https://www.youtube.com/watch?v=hmZP2r7uxTo,3,"For heavier packages and letters going overseas, check with USPS for recommended postage options.",Check,For,heavier packages and letters,Enclose the letter and seal the envelope.,Buy extra postage.
https://www.youtube.com/watch?v=hmZP2r7uxTo,4,"To learn how to mail your letter from a post office, collection box, or even your own mailbox, read on.",Learn,,"how to mail your letter from a post office , collection box , or even your own mailbox , read on",Take the letter to any post office.,Place the letter in your own mailbox.
